,variables,importance
1,Channel 3 - Channel 12 b Waves,0.08059979353706795
2,Pupil Average Diameter,0.0770164533197024
3,Channel 3 - Channel 12 a Waves ,0.058403074463168725
4,Change in R-R Interval ,0.046515396478658905
5,Channel 4 - Channel 11 b Waves,0.045677121523074495
6,Channel 6 - Channel 9 a Waves ,0.036372174008599246
7,Channel 4 - Channel 11 a Waves ,0.03602617916026903
8,Channel 5 - Channel 10 b Waves,0.02843736012937098
9,Channel 2 - Channel 13 a Waves ,0.02818122895098704
10,Channel 6 - Channel 9 b Waves,0.02648117529425895
11,Channel 2 - Channel 13 b Waves,0.02561314455020305
12,Channel 1 - Channel 14 b Waves,0.02555926362677984
13,Channel 1 - Channel 14 a Waves ,0.0238823000744107
14,Channel 7 - Channel 8 b Waves,0.02293721106696551
15,Channel 7 - Channel 8 b/a ,0.021940993478400065
16,Channel 7 b/a,0.021464824232580573
17,Channel 5 - Channel 10 a Waves ,0.020249115202969528
18,Channel 11 b/a ,0.019565244691382398
19,Channel 9 b/a,0.019348038710784776
20,Channel 6 b/a,0.019316741610848877
21,Channel 5 b/a,0.019145793727763902
22,Channel 5 - Channel 10 b/a ,0.019110565804026536
23,Channel 4 b/a ,0.01862204310855608
24,Channel 10 b/a ,0.017969094052133063
25,Channel 3 b/a ,0.017635188792649897
26,Channel 8 b/a,0.01756214466060423
27,Channel 7 - Channel 8 a Waves ,0.017338331443404055
28,Channel 13 b/a ,0.01724221992990917
29,Channel 1 b/a ,0.016943546829988013
30,Channel 6 - Channel 9 b/a ,0.016782031730955143
31,Channel 4 - Channel 11 b/a ,0.016472056488385727
32,Channel 1 - Channel 14 b/a,0.016366131492529846
33,Channel 14 b/a ,0.01589873391898189
34,Channel 3 - Channel 12 b/a,0.015573752161104525
35,Channel 2 - Channel 13 b/a,0.015313003498679338
36,Right Eye Euclidean Distance,0.014836837539190791
37,Channel 12 b/a,0.014718951999214748
38,Channel 2 b/a ,0.014558032850103316
39,Left Eye Euclidean Distance,0.01432470586133684
