,variables,importance
1,Channel 3 - Channel 12 b Waves,0.1154325440617777
2,Channel 3 - Channel 12 a Waves ,0.09474560062343815
3,Change in R-R Interval ,0.0799202398770328
4,Pupil Average Diameter,0.07301632003527667
5,Channel 4 - Channel 11 b Waves,0.05024495610530733
6,Channel 4 - Channel 11 a Waves ,0.03546855640334122
7,Channel 7 - Channel 8 b Waves,0.03232048004630893
8,Channel 2 - Channel 13 a Waves ,0.02514146908258134
9,Channel 6 - Channel 9 a Waves ,0.02377290222861784
10,Channel 1 - Channel 14 a Waves ,0.023511222870441464
11,Channel 2 - Channel 13 b Waves,0.022531217363027316
12,Channel 1 - Channel 14 b Waves,0.020980814814687245
13,Channel 6 - Channel 9 b Waves,0.020679896134009692
14,Channel 7 b/a,0.01963775933295379
15,Channel 7 - Channel 8 b/a ,0.019400597926144545
16,Channel 5 - Channel 10 b Waves,0.018583730088631848
17,Channel 5 - Channel 10 a Waves ,0.01775470276299942
18,Channel 11 b/a ,0.017344425727014792
19,Channel 9 b/a,0.016568222341267876
20,Channel 7 - Channel 8 a Waves ,0.016090837157366214
21,Channel 8 b/a,0.01597775031897623
22,Channel 10 b/a ,0.015579446068015892
23,Channel 4 - Channel 11 b/a ,0.015289026800716452
24,Channel 6 - Channel 9 b/a ,0.015237388622545249
25,Channel 3 b/a ,0.014589863507704434
26,Channel 4 b/a ,0.01454440428676563
27,Channel 5 b/a,0.014412603988495747
28,Channel 6 b/a,0.014050305127991266
29,Channel 12 b/a,0.013667198440777807
30,Channel 5 - Channel 10 b/a ,0.013659158014280687
31,Channel 14 b/a ,0.013247112744669843
32,Channel 13 b/a ,0.012933809997997505
33,Channel 1 - Channel 14 b/a,0.012905652981102977
34,Channel 1 b/a ,0.012723462797534384
35,Right Eye Euclidean Distance,0.012325622470341566
36,Channel 2 b/a ,0.012282455914425214
37,Channel 3 - Channel 12 b/a,0.012219592016004798
38,Left Eye Euclidean Distance,0.010991823342983228
39,Channel 2 - Channel 13 b/a,0.010216827576445089
