,variables,importance
1,Change in R-R Interval ,0.09881556219133805
2,Pupil Average Diameter,0.08041731816114138
3,Channel 3 - Channel 12 b Waves,0.07998958702064507
4,Channel 3 - Channel 12 a Waves ,0.06767664335799761
5,Channel 4 - Channel 11 b Waves,0.0475853216803295
6,Channel 4 - Channel 11 a Waves ,0.03956215274814108
7,Channel 7 - Channel 8 b Waves,0.03381337139452095
8,Channel 6 - Channel 9 b Waves,0.02671750555199447
9,Channel 6 - Channel 9 a Waves ,0.025399054806686028
10,Channel 1 - Channel 14 b Waves,0.024531681582399014
11,Channel 2 - Channel 13 a Waves ,0.023925028592215725
12,Channel 1 - Channel 14 a Waves ,0.023858047058362225
13,Channel 5 - Channel 10 b Waves,0.021949875916513255
14,Channel 2 - Channel 13 b Waves,0.019216360917679434
15,Channel 7 - Channel 8 a Waves ,0.019118220057374596
16,Channel 8 b/a,0.018039845486561935
17,Channel 11 b/a ,0.01781864248261872
18,Channel 9 b/a,0.017806573533661513
19,Channel 7 b/a,0.017783529622546774
20,Channel 7 - Channel 8 b/a ,0.016776699769281735
21,Channel 5 b/a,0.016593842878470915
22,Channel 6 b/a,0.016295385128971746
23,Channel 10 b/a ,0.016238649150693632
24,Channel 4 b/a ,0.016180133171169894
25,Channel 5 - Channel 10 a Waves ,0.0161217904806016
26,Channel 6 - Channel 9 b/a ,0.01600796832792708
27,Channel 4 - Channel 11 b/a ,0.015448640030670117
28,Channel 12 b/a,0.014839801311061215
29,Channel 1 b/a ,0.014738200082851002
30,Channel 5 - Channel 10 b/a ,0.014641324015438599
31,Channel 3 b/a ,0.014386391080332045
32,Channel 14 b/a ,0.01437881291347431
33,Channel 1 - Channel 14 b/a,0.014109579447272457
34,Channel 13 b/a ,0.013945628603646643
35,Channel 2 b/a ,0.013849642259961825
36,Right Eye Euclidean Distance,0.013195996304485959
37,Channel 3 - Channel 12 b/a,0.013147004985331534
38,Channel 2 - Channel 13 b/a,0.01304530336831396
39,Left Eye Euclidean Distance,0.01203488452731655
