,variables,importance
1,Channel 3 - Channel 12 b Waves,0.07993756084333327
2,Change in R-R Interval ,0.07531820537981827
3,Pupil Average Diameter,0.062275376177254406
4,Channel 3 - Channel 12 a Waves ,0.05818083617859208
5,Channel 4 - Channel 11 b Waves,0.038931949603384766
6,Channel 6 - Channel 9 a Waves ,0.03619067989248456
7,Channel 4 - Channel 11 a Waves ,0.030472951396618472
8,Channel 5 - Channel 10 b Waves,0.027492319853946515
9,Channel 6 - Channel 9 b Waves,0.026385119002385594
10,Channel 7 - Channel 8 b Waves,0.02522837166625612
11,Channel 2 - Channel 13 b Waves,0.024528852396646806
12,Channel 1 - Channel 14 b Waves,0.024419163961448342
13,Channel 2 - Channel 13 a Waves ,0.023432661981159886
14,Channel 1 - Channel 14 a Waves ,0.023410344608080367
15,Channel 9 b/a,0.022708173350306518
16,Channel 7 - Channel 8 b/a ,0.022058044413262406
17,Channel 5 - Channel 10 a Waves ,0.02169985002662057
18,Channel 7 b/a,0.02070205446020376
19,Channel 10 b/a ,0.019613256353762546
20,Channel 5 - Channel 10 b/a ,0.019109228550383193
21,Channel 4 - Channel 11 b/a ,0.018995449989734906
22,Channel 8 b/a,0.018961931010983837
23,Channel 6 b/a,0.0180249603596559
24,Channel 7 - Channel 8 a Waves ,0.017856574493130956
25,Channel 6 - Channel 9 b/a ,0.01761959612112143
26,Channel 5 b/a,0.017590124782848812
27,Channel 3 b/a ,0.017415269661903623
28,Channel 2 b/a ,0.01738008232137234
29,Channel 11 b/a ,0.017204631415017588
30,Channel 4 b/a ,0.017179901731039313
31,Channel 12 b/a,0.016525081387770785
32,Channel 1 b/a ,0.016489748519777418
33,Channel 3 - Channel 12 b/a,0.0162367311785326
34,Channel 14 b/a ,0.015966515910898118
35,Channel 13 b/a ,0.015709533235705217
36,Channel 1 - Channel 14 b/a,0.015461606983724277
37,Right Eye Euclidean Distance,0.015311351162216795
38,Channel 2 - Channel 13 b/a,0.014018214202874388
39,Left Eye Euclidean Distance,0.013957695435743246
