,variables,importance
1,Channel 3 - Channel 12 b Waves,0.08463924446428178
2,Channel 3 - Channel 12 a Waves ,0.0703549118043842
3,Change in R-R Interval ,0.06967062496516069
4,Pupil Average Diameter,0.04873965202112842
5,Channel 4 - Channel 11 b Waves,0.04822650952952036
6,Channel 4 - Channel 11 a Waves ,0.04737097520002061
7,Channel 1 - Channel 14 a Waves ,0.04278018772101911
8,Channel 1 - Channel 14 b Waves,0.037555455546490764
9,Channel 5 - Channel 10 b Waves,0.026267085301777685
10,Channel 7 - Channel 8 b Waves,0.024420247928668006
11,Channel 6 - Channel 9 a Waves ,0.02298266574721721
12,Channel 2 - Channel 13 a Waves ,0.022560092894580417
13,Channel 6 - Channel 9 b Waves,0.02200135205543362
14,Channel 5 - Channel 10 a Waves ,0.019696403839063292
15,Channel 9 b/a,0.018987561116958526
16,Channel 5 b/a,0.018599778185139065
17,Channel 1 b/a ,0.018193564286847933
18,Channel 2 - Channel 13 b Waves,0.018050607928612877
19,Channel 11 b/a ,0.018002349120224623
20,Channel 7 - Channel 8 b/a ,0.01764882413999827
21,Channel 6 - Channel 9 b/a ,0.017500622003016077
22,Channel 7 - Channel 8 a Waves ,0.01749032652675509
23,Channel 6 b/a,0.017318348127728183
24,Channel 10 b/a ,0.01722231089107593
25,Channel 8 b/a,0.017212489865712017
26,Channel 14 b/a ,0.016926101849362066
27,Channel 5 - Channel 10 b/a ,0.01691194261884864
28,Channel 7 b/a,0.01666860118912253
29,Channel 1 - Channel 14 b/a,0.01648378460859837
30,Channel 4 b/a ,0.01635711941450151
31,Channel 4 - Channel 11 b/a ,0.016065254136408406
32,Channel 3 b/a ,0.01583928378351016
33,Channel 3 - Channel 12 b/a,0.015248385183986938
34,Channel 12 b/a,0.015150931031689008
35,Channel 13 b/a ,0.014850075761972443
36,Right Eye Euclidean Distance,0.01455593776884223
37,Channel 2 - Channel 13 b/a,0.014207550456515292
38,Left Eye Euclidean Distance,0.013625233719340303
39,Channel 2 b/a ,0.013617607266487329
