,variables,importance
1,Channel 3 - Channel 12 b Waves,0.14456987260308193
2,Channel 3 - Channel 12 a Waves ,0.11617665129407259
3,Pupil Average Diameter,0.07633276046705471
4,Change in R-R Interval ,0.0751798366355143
5,Channel 4 - Channel 11 b Waves,0.04836060286460682
6,Channel 4 - Channel 11 a Waves ,0.03527884591747213
7,Channel 7 - Channel 8 b Waves,0.03453412759694526
8,Channel 2 - Channel 13 a Waves ,0.024621158934843936
9,Channel 6 - Channel 9 a Waves ,0.023827714439301224
10,Channel 2 - Channel 13 b Waves,0.023333847438899765
11,Channel 1 - Channel 14 a Waves ,0.022568608766159678
12,Channel 1 - Channel 14 b Waves,0.01872529922346027
13,Channel 7 b/a,0.018405842342042223
14,Channel 7 - Channel 8 b/a ,0.017263989846581257
15,Channel 6 - Channel 9 b Waves,0.017143798590636534
16,Channel 5 - Channel 10 b Waves,0.01693242305759854
17,Channel 9 b/a,0.016414426390595524
18,Channel 11 b/a ,0.015149062829262244
19,Channel 7 - Channel 8 a Waves ,0.01501639392665459
20,Channel 4 - Channel 11 b/a ,0.014090070132159196
21,Channel 10 b/a ,0.01399390065049755
22,Channel 8 b/a,0.013897010727335249
23,Channel 5 - Channel 10 a Waves ,0.012791086040833916
24,Channel 4 b/a ,0.012669324576666812
25,Channel 5 - Channel 10 b/a ,0.01258944767674365
26,Channel 5 b/a,0.012494257933574284
27,Channel 6 b/a,0.012342398938889967
28,Channel 3 b/a ,0.012301304315163639
29,Channel 6 - Channel 9 b/a ,0.012251725709873054
30,Channel 1 - Channel 14 b/a,0.011921146315052686
31,Channel 12 b/a,0.011677129350782467
32,Channel 1 b/a ,0.011657655506638545
33,Channel 14 b/a ,0.011505798129680302
34,Channel 2 - Channel 13 b/a,0.010797242976760537
35,Channel 13 b/a ,0.010792953885756365
36,Channel 3 - Channel 12 b/a,0.010747914267408185
37,Channel 2 b/a ,0.010610391925308008
38,Left Eye Euclidean Distance,0.010585279203398754
39,Right Eye Euclidean Distance,0.010448698572693229
