,JST,Left Eye Euclidean Distance,Right Eye Euclidean Distance,Pupil Average Diameter,Channel 1 b/a ,Channel 2 b/a ,Channel 3 b/a ,Channel 4 b/a ,Channel 5 b/a,Channel 6 b/a,Channel 7 b/a,Channel 8 b/a,Channel 9 b/a,Channel 10 b/a ,Channel 11 b/a ,Channel 12 b/a,Channel 13 b/a ,Channel 14 b/a ,Channel 1 - Channel 14 b/a,Channel 2 - Channel 13 b/a,Channel 3 - Channel 12 b/a,Channel 4 - Channel 11 b/a ,Channel 5 - Channel 10 b/a ,Channel 6 - Channel 9 b/a ,Channel 7 - Channel 8 b/a ,Channel 1 - Channel 14 a Waves ,Channel 2 - Channel 13 a Waves ,Channel 3 - Channel 12 a Waves ,Channel 4 - Channel 11 a Waves ,Channel 5 - Channel 10 a Waves ,Channel 6 - Channel 9 a Waves ,Channel 7 - Channel 8 a Waves ,Channel 1 - Channel 14 b Waves,Channel 2 - Channel 13 b Waves,Channel 3 - Channel 12 b Waves,Channel 4 - Channel 11 b Waves,Channel 5 - Channel 10 b Waves,Channel 6 - Channel 9 b Waves,Channel 7 - Channel 8 b Waves,Change in R-R Interval 
0,50:09.6,0,0,3.396003723,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95.98613033
1,50:09.8,0.151528729,0.18912517,3.447540283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98.03582297
2,50:10.1,0,0,3.306564331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.06916235
3,50:10.3,0,0,3.469612122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.8793998
4,50:10.6,0.011158069,0.009513381,3.509269714,0.898658092,0.996217279,1.435244286,1.200381502,1.978476565,2.299323198,2.484199305,2.983037546,1.471803576,1.800346798,1.808188704,1.178877609,1.302910755,0.930917405,1.195348002,0.770426585,0.591024459,0.460719882,0.280745575,0.295494992,0.134944393,0.709091403,0.846768153,0.359557935,1.616588415,0.641364074,1.401448419,1.192767709,0.684519082,0.647446544,0.437749829,1.073186015,0.704821867,2.189410947,0.993307214,100.6896372
5,50:10.8,0.236769357,0.228158304,3.369697571,1.358090121,1.917351585,1.431682726,1.636713546,1.574579116,1.942444911,2.02766713,2.062009482,1.26849001,1.675808979,1.408026991,1.264709177,1.214274422,0.946823314,0.777682751,0.429518027,0.552284106,0.43392667,0.378975382,0.405848774,0.239173292,0.555567427,0.517171294,0.353082585,1.144780005,0.51582685,1.422000561,1.156935176,0.796886414,0.816618701,0.399698402,1.330710954,0.484667522,2.177516364,1.137666654,96.57708399
6,50:11.1,0.032430043,0.017145837,3.297966003,2.481454759,1.085997689,1.824374741,1.36985351,2.195234714,2.391449266,2.052520137,2.389466036,2.535115496,1.484246816,1.123431075,1.774514154,1.134399468,1.577225032,0.255505338,0.811717829,0.308891873,0.649799601,0.306911324,0.16494573,0.203897411,0.487763783,0.557961796,0.369305078,0.921267409,0.461947559,1.64829287,1.203498456,0.767400806,0.534155065,0.379681872,1.123345636,0.683230921,1.55488331,1.033789466,91.98952462
7,50:11.3,0.337212592,0.35545899,3.417709351,2.087237579,1.484800403,1.535704057,2.043729611,3.033668225,1.843968292,1.825815267,1.740607278,1.676711872,1.712090547,1.361002106,1.488946099,1.146478377,1.61226329,0.297161231,0.587443435,0.437334252,0.359515621,0.192533004,0.323435817,0.314660603,0.53895072,0.444763826,0.380273401,0.625716098,0.343347167,1.106441092,0.970970898,0.697726111,0.576012179,0.392215276,0.93959775,0.60837985,1.216811502,1.018502859,89.59630543
8,50:11.6,0.157462332,0.167424993,3.459648132,1.546927244,1.338772459,1.590674937,1.356062642,1.908873841,2.17347539,1.97641782,1.766431825,1.977943872,1.188825388,0.929325694,1.102457681,1.086210559,1.290041489,0.501102343,0.687668625,0.57023863,0.793509816,0.440661088,0.232611568,0.286433862,0.801770857,0.586107883,0.454443471,0.906623126,0.47384101,1.309155483,1.032535393,0.961427359,0.722387649,0.655691236,1.322935285,0.760837308,1.43857329,1.155278863,91.38764193
9,50:11.8,0,0,-1,0.872899361,1.104301011,1.045451269,1.093423023,3.695363737,2.02733964,2.512230074,2.318027295,1.812994912,2.080254555,0.930494296,0.802403727,0.655848635,0.788487347,1.452917972,1.380730477,1.192074145,0.982874507,0.130084732,0.272067648,0.17172046,0.632965382,0.658596486,0.378621504,1.091042783,0.525760847,1.304620404,1.001870914,0.700727893,1.108927772,0.4933057,1.282083407,0.933961454,1.458861601,1.08580699,93.17897844
10,50:12.1,0,0,3.564399719,0.636073702,1.036151908,0.907092784,1.170260269,3.638661891,2.1680658,2.327756558,1.807874945,2.722725099,1.991635576,1.218400252,0.79548004,0.929190586,0.551406983,2.851151525,1.03865608,1.385858855,0.701338304,0.137990257,0.169404033,0.237626053,0.644891286,0.532373067,0.443537309,1.183332726,0.463154189,1.649195968,1.135739929,0.743912211,0.593655787,0.505769438,1.136578289,0.846169609,1.313230402,1.462339016,95.40294598
11,50:12.3,0,0,3.598640442,0.775431806,1.083641719,1.157456053,1.747322876,2.641060492,2.260893657,2.213218096,1.544274071,1.552648208,2.205377282,1.150895526,0.981366213,0.921853462,0.554503667,2.325690757,1.001042215,0.880368282,0.497268484,0.171687531,0.284870054,0.292584563,0.626455668,0.520242961,0.429667138,0.951584735,0.523415124,0.831083609,1.06617612,0.876051286,0.611547279,0.506763757,1.444723468,0.626818376,1.210185057,1.528019104,97.87451996
12,50:12.6,0,0,3.566490173,0.708543981,0.960813014,1.265214944,1.554418064,1.73666148,2.038905929,2.675384284,1.602206544,1.393195123,1.67590102,0.815418333,0.806273811,0.691932698,0.515828017,2.736076648,1.504171201,0.980286753,0.788954021,0.343586794,0.352039071,0.233289572,0.601124077,0.422960539,0.345699542,0.644637144,0.609621923,0.840783051,0.759119579,0.825707081,0.587320113,0.542476043,1.228860794,0.631724009,1.230464792,1.267587253,100.346094
13,50:12.8,0.226304667,0.251762002,3.539031982,1.683581894,1.689340262,1.478692785,1.82896041,2.863763738,1.376569037,3.289337279,1.400097074,1.329498818,2.000629193,1.780458044,1.674268017,1.648164653,1.526794701,0.389031806,0.359155293,0.403921588,0.307088782,0.174540499,0.546404224,0.217136806,0.601030008,0.477815319,0.426876333,0.825525314,0.315808397,1.028576336,0.595423915,0.662750034,0.489752437,0.377011892,0.84801387,0.452058102,1.06499255,1.398867349,100.6206001
14,50:13.1,0.007869967,0.011699867,3.450950623,1.455430048,1.628557328,1.593823847,2.131991912,2.12298769,1.488541479,3.085196506,1.785876356,1.039003202,1.996356577,1.257818569,1.222689724,1.299227053,1.349257858,0.509229679,0.47261978,0.513148918,0.372903488,0.235946972,0.64657986,0.181495467,0.999553538,0.601257895,0.420640339,0.78737632,0.465892375,1.248345371,0.755790759,1.078207731,0.753665766,0.548321123,1.33459625,0.495444445,1.788458266,1.305668784,100.0406911
15,50:13.3,0.042381494,0.052371211,3.485107422,1.28709392,1.409757465,1.076339034,1.620722225,1.94981172,1.49880548,2.056202973,1.599561335,0.96962389,2.006872678,1.244726543,1.027664151,1.371120816,1.15561042,0.672323532,0.517344543,0.904065096,0.495698337,0.255556836,0.688099782,0.304041677,0.830982112,0.606169124,0.460236425,0.847440612,0.557091514,1.284201984,0.824224677,0.925529924,0.623250291,0.482035332,1.10342777,0.541251857,1.985067603,1.059523755,99.46078204
