,JST,MeanF1,MeanF2,MeanF3
0,50:09.6,2.57143,3.66667,4
1,50:09.8,2.57143,3.66667,4
2,50:10.1,2.57143,3.66667,4
3,50:10.3,2.57143,3.66667,4
4,50:10.6,2.57143,3.66667,4
5,50:10.8,2.57143,3.66667,4
6,50:11.1,2.57143,3.66667,4
7,50:11.3,2.57143,3.66667,4
8,50:11.6,2.57143,3.66667,4
9,50:11.8,2.57143,3.66667,4
10,50:12.1,2.57143,3.66667,4
11,50:12.3,2.57143,3.66667,4
12,50:12.6,2.57143,3.66667,4
13,50:12.8,2.57143,3.66667,4
14,50:13.1,2.57143,3.66667,4
15,50:13.3,2.57143,3.66667,4
16,50:13.5,2.57143,3.66667,4
17,50:13.8,2.57143,3.66667,4
18,50:14.1,2.57143,3.66667,4
19,50:14.3,2.57143,3.66667,4
20,50:14.6,2.57143,3.66667,4
21,50:14.8,2.57143,3.66667,4
22,50:15.1,2.57143,3.66667,4
23,50:15.3,2.57143,3.66667,4
24,50:15.5,2.57143,3.66667,4
25,50:15.8,2.57143,3.66667,4
26,50:16.1,2.57143,3.66667,4
27,50:16.3,2.57143,3.66667,4
28,50:16.6,2.57143,3.66667,4
29,50:16.8,2.57143,3.66667,4
30,50:17.1,2.57143,3.66667,4
31,50:17.3,2.57143,3.66667,4
32,50:17.6,2.57143,3.66667,4
33,50:17.8,2.57143,3.66667,4
34,50:18.1,2.57143,3.66667,4
35,50:18.3,2.57143,3.66667,4
36,50:18.6,2.57143,3.66667,4
37,50:18.8,2.57143,3.66667,4
38,50:19.1,2.57143,3.66667,4
39,50:19.3,2.57143,3.66667,4
40,50:19.5,2.57143,3.66667,4
41,50:19.8,2.57143,3.66667,4
42,50:20.0,2.57143,3.66667,4
43,50:20.3,2.57143,3.66667,4
44,50:20.5,2.57143,3.66667,4
45,50:20.8,2.57143,3.66667,4
46,50:21.1,2.57143,3.66667,4
47,50:21.3,2.57143,3.66667,4
48,50:21.5,2.57143,3.66667,4
49,50:21.8,2.57143,3.66667,4
50,50:22.0,2.57143,3.66667,4
51,50:22.3,2.57143,3.66667,4
52,50:22.5,2.57143,3.66667,4
53,50:22.8,2.57143,3.66667,4
54,50:23.0,2.57143,3.66667,4
55,50:23.3,2.57143,3.66667,4
56,50:23.5,2.57143,3.66667,4
57,50:23.8,2.57143,3.66667,4
58,50:24.0,2.57143,3.66667,4
59,50:24.3,2.57143,3.66667,4
60,50:24.6,2.57143,3.66667,4
61,50:24.8,2.57143,3.66667,4
62,50:25.0,2.57143,3.66667,4
63,50:25.3,2.57143,3.66667,4
64,50:25.5,2.57143,3.66667,4
65,50:25.8,2.57143,3.66667,4
66,50:26.0,2.57143,3.66667,4
67,50:26.3,2.57143,3.66667,4
68,50:26.5,2.57143,3.66667,4
69,50:26.8,2.57143,3.66667,4
70,50:27.0,2.57143,3.66667,4
71,50:27.3,2.57143,3.66667,4
72,50:27.5,2.57143,3.66667,4
73,50:27.8,2.57143,3.66667,4
74,50:28.0,2.57143,3.66667,4
