,JST,Like,Want_To_Watch,Pleasant,Happy ,Emotional,Quality,Interest,Light_Hearted,Exciting,Warm,Impression
0,16:50:09.555,2,2,2,3,3,2,2,3,3,2,2
1,16:50:09.805,2,2,2,3,3,2,2,3,3,2,2
2,16:50:10.057,2,2,2,3,3,2,2,3,3,2,2
3,16:50:10.305,2,2,2,3,3,2,2,3,3,2,2
4,16:50:10.555,2,2,2,3,3,2,2,3,3,2,2
5,16:50:10.804,2,2,2,3,3,2,2,3,3,2,2
6,16:50:11.054,2,2,2,3,3,2,2,3,3,2,2
7,16:50:11.304,2,2,2,3,3,2,2,3,3,2,2
8,16:50:11.554,2,2,2,3,3,2,2,3,3,2,2
9,16:50:11.824,2,2,2,3,3,2,2,3,3,2,2
10,16:50:12.053,2,2,2,3,3,2,2,3,3,2,2
11,16:50:12.305,2,2,2,3,3,2,2,3,3,2,2
12,16:50:12.553,2,2,2,3,3,2,2,3,3,2,2
13,16:50:12.803,2,2,2,3,3,2,2,3,3,2,2
14,16:50:13.052,2,2,2,3,3,2,2,3,3,2,2
15,16:50:13.303,2,2,2,3,3,2,2,3,3,2,2
16,16:50:13.548,2,2,2,3,3,2,2,3,3,2,2
17,16:50:13.803,2,2,2,3,3,2,2,3,3,2,2
18,16:50:14.053,2,2,2,3,3,2,2,3,3,2,2
19,16:50:14.303,2,2,2,3,3,2,2,3,3,2,2
20,16:50:14.553,2,2,2,3,3,2,2,3,3,2,2
21,16:50:14.802,2,2,2,3,3,2,2,3,3,2,2
22,16:50:15.051,2,2,2,3,3,2,2,3,3,2,2
23,16:50:15.300,2,2,2,3,3,2,2,3,3,2,2
24,16:50:15.543,2,2,2,3,3,2,2,3,3,2,2
25,16:50:15.802,2,2,2,3,3,2,2,3,3,2,2
26,16:50:16.052,2,2,2,3,3,2,2,3,3,2,2
27,16:50:16.302,2,2,2,3,3,2,2,3,3,2,2
28,16:50:16.551,2,2,2,3,3,2,2,3,3,2,2
29,16:50:16.801,2,2,2,3,3,2,2,3,3,2,2
30,16:50:17.051,2,2,2,3,3,2,2,3,3,2,2
31,16:50:17.301,2,2,2,3,3,2,2,3,3,2,2
32,16:50:17.550,2,2,2,3,3,2,2,3,3,2,2
33,16:50:17.800,2,2,2,3,3,2,2,3,3,2,2
34,16:50:18.051,2,2,2,3,3,2,2,3,3,2,2
35,16:50:18.300,2,2,2,3,3,2,2,3,3,2,2
36,16:50:18.550,2,2,2,3,3,2,2,3,3,2,2
37,16:50:18.802,2,2,2,3,3,2,2,3,3,2,2
38,16:50:19.053,2,2,2,3,3,2,2,3,3,2,2
39,16:50:19.300,2,2,2,3,3,2,2,3,3,2,2
40,16:50:19.549,2,2,2,3,3,2,2,3,3,2,2
41,16:50:19.799,2,2,2,3,3,2,2,3,3,2,2
42,16:50:20.048,2,2,2,3,3,2,2,3,3,2,2
43,16:50:20.298,2,2,2,3,3,2,2,3,3,2,2
44,16:50:20.548,2,2,2,3,3,2,2,3,3,2,2
45,16:50:20.798,2,2,2,3,3,2,2,3,3,2,2
46,16:50:21.050,2,2,2,3,3,2,2,3,3,2,2
47,16:50:21.329,2,2,2,3,3,2,2,3,3,2,2
48,16:50:21.548,2,2,2,3,3,2,2,3,3,2,2
49,16:50:21.798,2,2,2,3,3,2,2,3,3,2,2
50,16:50:22.047,2,2,2,3,3,2,2,3,3,2,2
51,16:50:22.289,2,2,2,3,3,2,2,3,3,2,2
52,16:50:22.547,2,2,2,3,3,2,2,3,3,2,2
53,16:50:22.798,2,2,2,3,3,2,2,3,3,2,2
54,16:50:23.047,2,2,2,3,3,2,2,3,3,2,2
55,16:50:23.298,2,2,2,3,3,2,2,3,3,2,2
56,16:50:23.548,2,2,2,3,3,2,2,3,3,2,2
57,16:50:23.798,2,2,2,3,3,2,2,3,3,2,2
58,16:50:24.047,2,2,2,3,3,2,2,3,3,2,2
59,16:50:24.320,2,2,2,3,3,2,2,3,3,2,2
60,16:50:24.550,2,2,2,3,3,2,2,3,3,2,2
61,16:50:24.797,2,2,2,3,3,2,2,3,3,2,2
62,16:50:25.047,2,2,2,3,3,2,2,3,3,2,2
63,16:50:25.297,2,2,2,3,3,2,2,3,3,2,2
64,16:50:25.546,2,2,2,3,3,2,2,3,3,2,2
65,16:50:25.795,2,2,2,3,3,2,2,3,3,2,2
66,16:50:26.045,2,2,2,3,3,2,2,3,3,2,2
67,16:50:26.295,2,2,2,3,3,2,2,3,3,2,2
68,16:50:26.544,2,2,2,3,3,2,2,3,3,2,2
69,16:50:26.793,2,2,2,3,3,2,2,3,3,2,2
70,16:50:27.043,2,2,2,3,3,2,2,3,3,2,2
71,16:50:27.293,2,2,2,3,3,2,2,3,3,2,2
72,16:50:27.544,2,2,2,3,3,2,2,3,3,2,2
73,16:50:27.793,2,2,2,3,3,2,2,3,3,2,2
74,16:50:28.042,2,2,2,3,3,2,2,3,3,2,2
75,16:50:28.293,2,2,2,3,3,2,2,3,3,2,2
76,16:50:28.543,2,2,2,3,3,2,2,3,3,2,2
77,16:50:28.792,2,2,2,3,3,2,2,3,3,2,2
78,16:50:29.042,2,2,2,3,3,2,2,3,3,2,2
79,16:50:29.295,2,2,2,3,3,2,2,3,3,2,2
80,16:50:29.542,2,2,2,3,3,2,2,3,3,2,2
81,16:50:29.792,2,2,2,3,3,2,2,3,3,2,2
82,16:50:30.042,2,2,2,3,3,2,2,3,3,2,2
83,16:50:30.291,2,2,2,3,3,2,2,3,3,2,2
84,16:50:30.540,2,2,2,3,3,2,2,3,3,2,2
85,16:50:30.805,2,2,2,3,3,2,2,3,3,2,2
86,16:50:31.039,2,2,2,3,3,2,2,3,3,2,2
87,16:50:31.290,2,2,2,3,3,2,2,3,3,2,2
88,16:50:31.541,2,2,2,3,3,2,2,3,3,2,2
89,16:50:31.797,2,2,2,3,3,2,2,3,3,2,2
90,16:50:32.039,2,2,2,3,3,2,2,3,3,2,2
91,16:50:32.290,2,2,2,3,3,2,2,3,3,2,2
92,16:50:32.539,2,2,2,3,3,2,2,3,3,2,2
93,16:50:32.789,2,2,2,3,3,2,2,3,3,2,2
94,16:50:33.040,2,2,2,3,3,2,2,3,3,2,2
95,16:50:33.290,2,2,2,3,3,2,2,3,3,2,2
96,16:50:33.555,2,2,2,3,3,2,2,3,3,2,2
97,16:50:33.790,2,2,2,3,3,2,2,3,3,2,2
98,16:50:34.039,2,2,2,3,3,2,2,3,3,2,2
99,16:50:34.290,2,2,2,3,3,2,2,3,3,2,2
100,16:50:34.539,2,2,2,3,3,2,2,3,3,2,2
101,16:50:34.787,2,2,2,3,3,2,2,3,3,2,2
102,16:50:35.071,2,2,2,3,3,2,2,3,3,2,2
103,16:50:35.287,2,2,2,3,3,2,2,3,3,2,2
104,16:50:35.541,2,2,2,3,3,2,2,3,3,2,2
105,16:50:35.788,2,2,2,3,3,2,2,3,3,2,2
106,16:50:36.039,2,2,2,3,3,2,2,3,3,2,2
107,16:50:36.287,2,2,2,3,3,2,2,3,3,2,2
108,16:50:36.537,2,2,2,3,3,2,2,3,3,2,2
109,16:50:36.787,2,2,2,3,3,2,2,3,3,2,2
110,16:50:37.037,2,2,2,3,3,2,2,3,3,2,2
111,16:50:37.286,2,2,2,3,3,2,2,3,3,2,2
112,16:50:37.552,2,2,2,3,3,2,2,3,3,2,2
113,16:50:37.787,2,2,2,3,3,2,2,3,3,2,2
114,16:50:38.036,2,2,2,3,3,2,2,3,3,2,2
115,16:50:38.286,2,2,2,3,3,2,2,3,3,2,2
116,16:50:38.536,2,2,2,3,3,2,2,3,3,2,2
117,16:50:38.786,2,2,2,3,3,2,2,3,3,2,2
118,16:50:39.036,2,2,2,3,3,2,2,3,3,2,2
119,16:50:39.292,2,2,2,3,3,2,2,3,3,2,2
120,16:50:39.551,2,2,2,3,3,2,2,3,3,2,2
121,16:50:39.785,2,2,2,3,3,2,2,3,3,2,2
